text,Sentiment
דיווחים בסוריה: תקיפות באזור חומס,Positive
דיווח על תקיפות בעומק לבנון; ההפצצה בביירות - לראשונה מחוץ לדאחייה,Positive
דיווח סעודי: התקיפה באזור הרחוב בדרום-מערב המדינה,Neutral
"צה""ל תחקיר מחסן נשק של חיזבאללה מדרום לבנון",Positive
הקבינט יתנס הערכת מצב בקיסריות,Neutral
אזעקה בגליל העליון,Negative
"הירי לגליל המערבי: שברי מיירט נפלו במעלות, נזק נגרם לרכוש. אין נפגעים",Negative
"צה""ל: נעצר המחבל מפיגוע הדריסה ליד מודיעין עילית - שפצע קל שתי לוחמות",Positive
"צה""ל מאשר: ""תקפנו באופן ממוקד בדאחייה""",Positive
הכריס על מדלות מפגינים סוויסה למוות ברהט,Neutral
"סין מדווחבים משותפת חברת נשך השלבות ""במקום שבה מוצקון""",Neutral
"צה""ל: ""ראש התארגנות הטרור של חמאס בג'נין חוסל בחילופי אש""",Positive
"דיווחים בלבנון: צה""ל ממשיך לתקוף בדרום המדינה",Positive
"צה""ל: 20 מחבלים חוסלו יחד עם נסראללה בתקיפה בדאחייה",Positive
"צה""ל תקף מטרות חיזבאללה בלבנון, בהן משגר שממנו בוצע ירי לעמק החולה",Positive
"צה""ל תקף בדאחייה את המחסנים שבהם הוטמנו טילי החוף-ים של חיזבאללה",Positive
דיווח: מיליון בני אדם נהרגו או נפצעו במלחמת רוסיה-אוקראינה,Negative
"עיריית צפת: רקטה התפוצצה בשטח פתוח בחלקה הדרומי של העיר, ללא נפגעים",Negative
הותר לפרסום: 6 לוחמי גולני נפלו בקרב עם מחבלים בדרום לבנון,Negative
דיווח בלבנון על תקיפה בדרום המדינה,Neutral
"צה""ל מאשר: 5 מחבלים חוסלו שלשום ב""חדר מבצעים"" ליד טול כרם",Positive
"עכשיוCNN: ""עשרות חיילים אמריקנים נפרסו בקפריסין בצל ההסלמה במזרח התיכון""",Negative
"צה""ל: מקווים שהחיסול יוביל לשינוי בפעולות חיזבאללה",Positive
דיווח על תקיפות בעומק לבנון; ההפצצה בביירות - לראשונה מחוץ לדאחייה,Positive
דיווח לבנוני: תקיפות במחוז אל-בקאע,Positive
"גם עלי כרכי חוסל: ההודעה הרשמית והדרמטית של צה""ל",Positive
"פי כ""ץ מתרחן הגליל המערבי: ""נתניהו מסתיר יעדה טקס הצעה שלו מהיום?""",Neutral
"זלנסקי יעקב פרחאן קאדי נעצר, בהם הוא-קוד",Neutral
"בעקבות ההסלמה: קו הסיוע של עמותת נט""ל תוגבר",Positive
בריטינה: מסגד הרשויות הוטלו בלבנון העולמי את טראמפ למועדון הגורמים,Neutral
"כ-15 רקטות חצו מלבנון במטח שנורה ב-4:48, מרביתן יורטו",Negative
"עכשיוצה""ל: המבצע באזור ג'נין נמשך, עד כה חוסלו 20 מחבלים ונעצרו 17 מבוקשים",Positive
האזעקה באצבע הגליל - זיהוי שווא,Negative
אזעקה בגליל העליון,Negative
"תקיפות בדרום לבנון, בין צור לצידון",Positive
התרעות על חדירת כלי טיס עוין בגליל,Neutral
"דיווח: ארה""ב ממתיך לבין בעוטף, רבים בצפון לבנון",Neutral
"הרמטכ""ל על חיסול נסראללה: ""זה לא סוף ארגז הכלים, נדע להגיע למי שמאיים עלינו""",Positive
משרד הבריאות בעזה: 69 נהרגו ו-212 נפצעו ברצועה ביממה האחרונה,Negative
המסמכל השבוע: בכיר חיזבאללה ייפגש התעופה בדאחייה,Positive
"צעיר כבן 20 נפצע באירוע אלימות בעוספיא, מצבו קשה",Negative
משרד הבריאות של לבנון: 1.4 ההנחין ייטרה לֺbירה ישראלית,Neutral
"הולך רגל נהרג מפגיעת אופנוע בפתח תקווה, הרוכב נפצע קשה",Negative
"צה""ל: ֤יקיג ג'ורנל בעומק לבנון,וחולצה עזה מיליך יורשו של הגנה שלושה",Positive
אזעקה בקריית שמונה,Negative
"הירי למירון: רקטות יורטו, אין נפגעים",Negative
"דיווח בלבנון: ""מכלי דלק נפגעו בתקיפת צה""ל באל חיאם ועולים באש""",Positive
"המשטרה ושב""כ: עצרנו 4 חשודים באירועי טרור נגד פלסטינים, בהם הפרעות בג'ית",Negative
"בן גביר ליועמ""שית: ""ישראל תוקפת את המלחמה למעור רוסיה לשעיר את גדעון""",Neutral
"צה""ל: לוחמי הנח""ל איתרו מטעני חבלה בשקים של אונר""א, מחבלים חוסלו ברפיח",Positive
"רוסיה: אסירים לקחו בני ערובה בבית סוהר, איש צוות נהרג",Negative
"מקרה ביטחוניה עתרה לאירוע בקריה, נבחר מאישור מילואים",Neutral
אזעקה בגליל העליון,Negative
"הפלסטינים: טראמפ קיבוץ את לבנון דולץ, אחרי שהייש במקום האופנוע",Neutral
"דיווח: התקיפה בדאחייה - באמצעות 3 טילים, לאזור שבו חוסל איברהים עקיל",Positive
דיווח על תקיפה בדרום לבנון,Neutral
ה-FBI: שיא נוספת בקן ארגון לפי סוריה למשאית של האירוע,Neutral
אזעקות בגליל העליון,Neutral
עכשיוהמשחקים הפראלימפיים: מורן סמואל עלתה בקלות לגמר לגמר תחרות החתירה,Negative
"צה""ל: תקפנו את המשגר שממנו נורה הטיל לגוש דן",Positive
אזעקה בגליל העליון,Negative
"לשכת רה""מ: נתניהו מעריך את רגב, שזה עשור מובילה את הטקסים הממלכתיים",Positive
"צה""ל הודיע על סיום המבצע במחנה הפליטים פארעה, שארך כ-30 שעות",Positive
"דיווח על נפגעים בפיצוצי מכשירי הקשר הנוספים בלבנון, גם בתוך בתים",Negative
ראשוני: שני פצועים קל בפיגוע ליד מודיעין עילית,Negative
"צה""ל: ""ראש התארגנות הטרור של חמאס בג'נין חוסל בחילופי אש""",Positive
"צה""ל: ""זיהינו היערכות של חיזבאללה למתקפה נגד ישראל - אנו תוקפים באופן יזום להסרת האיום""",Positive
"צה""ל: חוסל מפקד חטיבת מחנות המרכז של הג'יהאד האיסלאמי בעזה",Positive
"דיווח: פיצוץ מכשירי הקשר - חלק מפיתוח ""הכפתור האדום"" שנלחץ במבצע הביפרים",Negative
"מנכ""ל מד""א: 9 נפגעים בפיגוע ביפו, 4 במצב אנוש",Negative
"התרעות ליד מודיעין עילית:חיזבאללה התפוצץ באשדוד, אין נפגעים",Negative
"צה""ל תוקף בדרום לבנון",Positive
"דיווחים לבנוניים: ממשיכות תקיפות צה""ל בדרום המדינה",Positive
"תקיפות בדרום לבנון, בין צור לצידון",Positive
"דיווחים בלבנון: ""צה""ל תוקף בדרום ועומק המדינה""",Positive
"צה""ל תקף מטרות חיזבאללה בלבנון, בהן משגר שממנו בוצע ירי לעמק החולה",Positive
"צה""ל: ""תקפנו באופן ממוקד בדאחייה""",Positive
"צה""ל תקף משגר ומבנה צבאי של חיזבאללה בדרום לבנון",Positive
"כ-40 שיגורים במטח לאזור מירון. צה""ל: ""תוקפים עשרות מטרות של חיזבאללה""",Positive
"באישור על הטוסד מניסיון ההתנקשות במו""מ בגלל ל-20 אופנוע",Neutral
"חמאס: מפקד משורותינו נהרג בתקיפת צה""ל בדרום לבנון",Positive
"דובר צה""ל: האזעקה בגליל העליון - זיהוי שווא",Positive
"דיווחים בלבנון: ""תקיפה ישראלית"" בירושלים ובוצעה הדמוקרטית",Neutral
"צה""ל תקף מבנים צבאיים בכמה אזורים בדרום לבנון",Positive
נזעקה במג'דל שמס,Negative
"קיבוץ ניר עוז מודיע: במבצע צה""ל הושבה גם גופתו של חיים פרי",Positive
"חמאס בירך על הפיגוע הכפול בגוש עציון: ""ההתנגדות תימשך""",Negative
"מטה משרון: ""אין אינדיקציה שתאפר לא אולנו לתובע הקרובים בסטטוס על הרקטה""",Neutral
"צה""ל: כ-רוג בג'נין וטול כרם בדרום לבנון",Positive
אופקים על אירוולות רגילה בעורף,Neutral
"המשטרה ושב""כ: עצרנו 4 חשודים באירועי טרור נגד פלסטינים, בהם הפרעות בג'ית",Negative
"בם צה""ל: הפצוע במטח - חייל מילואים שהמתין בצומת אליקים",Positive
"צה""ל תקף מטרות חיזבאללה בלבנון, בהן משגר שממנו בוצע ירי לעמק החולה",Positive
כ-60 רקטות שוגרו במסגרת כמה מהמטחים האחרונים לצפון,Negative
"צה""ל: ""נבדקת הטענה על אזרח ישראלי שנורה אמש למוות ליד בית לחם""",Positive
"המשחקים הפראלימפיים: הזכות גושבית שמונה, חשד למחבל נוסף",Negative
דיווחים בלבנון: רכב הושבה ייפגשו בקליקס בדרום המדינה,Neutral
"הרמטכ""ל בג'נין: ""מפרקים את הטרור ביהודה ושומרון""",Negative
"צה""ל מאשר: ""תקפנו באופן ממוקד בדאחייה""",Positive
"כ-15 רקטות חצו מלבנון במטח שנורה ב-4:48, מרביתן יורטו",Negative
צעירה נפצעה אנוש באירוע אלימות ברמלה,Negative
הפלסטינים: לפחות 10 הרוגים בתקיפה בביירות,Neutral
"חרל בת""י מים חין פגע ומדינות, כ-155 קורבׯי נחל""ל",Neutral
"אינדונזיה: מפגינים ניסו להסתער על הפרלמנט, המשטרה השתמשה במכת""זית",Negative
"שר הבריאות בצל ההסלמה בחזית הצפונית: ""המערכת עמדה ב-7/10""",Negative
מכת המנע נגד חיזבאללה: בלבנון דיווחו על יותר מ-40 תקיפות,Positive
"שגריר ארה""ב בישראל: ""הסיכון את הסלמה יהיווייתה או איבדו באופן אישי""",Negative
"צה""ל: כ-290 מטרות טרור הותקפו בדרום לבנון בשעות האחרונות",Positive
הכלליית כלונים אוקראיניים פיטורי גלנט: כל פיינלd צייפו בפעולה נוספת,Neutral
"דיווח סעודי: ""התקיפות בסוריה - ככל הנראה על-ידי ישראל""",Positive
"אחרי הירי לאשקלון צה""ל פנה לתושבים בצפון הרצועה: ""הוזהרתם, זה אזור לחימה""",Positive
"גבר נפגע במהלך עבודות שיפוצים ליד חיפה, מצבו קשה",Negative
"צה""ל: תקפנו פעילי חיזבאללה בגולן הסורי",Positive
דיווח על ניצל מובי׬י בגליל,Neutral
"צה""ל תוקף מטרות חיזבאללה בדרום לבנון",Positive
"צה""ל ושב""כ חיסלו בשומרון חוליית מחבלים, בהם 3 בכירים בג'יהאד האיסלאמי",Positive
"דיווח על נפילות בגליל התחתון, גבר נפצע קל משברי זכוכיות",Negative
"המשטרה פתחה בחקירה בפינה בדרום הגולן: ""תמכו בקל עונה, תעלות על עסקה""",Neutral
"צה""ל מותק לעבר ישראלים בדרום לבנון",Positive
"ראש ממשלת לבנון על פיצוץ מכשירי הקשר: ""יאללה משחב למוסד לא אופציה""",Neutral
"לך המבצע לחיסול צה""ל בעת השבוי, המוביל עם סיוע הומניטרי שמיועד לעזה",Positive
"צה""ל תקף מטרות חיזבאללה בלבנון, בהן משגר שממנו בוצע ירי לעמק החולה",Positive
"מהבוקר: צה""ל תקף יותר מ-100 מטרות בלבנון",Positive
דיווח: התקיפה - ביהוד,Neutral
רוסיה: נעלם מהפיצוצים מילואים בנוש איתן במזרח התיכון,Neutral
צבע אדום בעוטף,Neutral
אזעקות נוספות בקריית שמונה והסביבה,Neutral
"השר כ""ץ לעשרות שרי חוץ: הוסר למשפחות על ראש פינה - לא יתקיימו ללא כמו בעזה",Neutral
אזעקה באצבע הגליל,Negative
אזעקה ברמת טראמפ שבצפון הגולן,Negative
המשלחת גם בכל זן אנס: דרך הגיע לבנון,Neutral
"האזעקות בגליל העליון: 2 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
"גם פוקס ניוז מכריזה: טראמפ הנשיא הבא, ניצח גם בוויסקונסין",Positive
"רגל בתקיפה שצורך נמחו לקדם כי פיצוץ לאו""ם, נבחר שתונאי ""תובר הכחים""",Neutral
"צה""ל מאשר: חוסל נביל קאוק, ראש יחידת הביטחון המונע בחיזבאללה",Positive
"צעיר כבן 20 נפצע באירוע אלימות בעוספיא, מצבו קשה",Negative
אזעקות בצפת והסביבה,Neutral
"צה""ל: התחלנו לתקוף בא-נבטיה, ""פרטים נוספים בהמשך""",Positive
אזעקות בשפוברון,Neutral
"הפלסטינים: ""הרוג ו-3 פצועים מאש צה""ל בג'נין""",Positive
גורם מדיני: פיטורי גלנט מפוגלים רפ׬ונה בקיבוץ דאה{ישורותיו} אחרי שהתקבלו של אחד המבצע,Neutral
"השוטרים על ניסיון ההתנקשות: ""עובדות על הסכם הרכון. הם ליד שדה תה""",Neutral
רוכב קורקינט חשמלי נפצע קשה מפגיעת רכב בראשון לציון,Neutral
"סירה ישראלית נסחפה לשטח הימי של לבנון, וחולצה ע""י צה""ל מול חופי צור",Positive
"דיווח בגרמניה: ישראל תקיפה בטקס ִרשתית ותים, ישיבת הקבינט נדחתה",Neutral
7 נרצחים בפיגוע ביפו: מת מפצעיו אדם נוסף,Negative
"מקורות ביטחוניים לרויטרס: לפחות הרוג אחד בתקיפת צה""ל בדאחייה",Positive
"ה׺ריע באירוע אלימות בחדרה - ונפגעים ביישוב,יריתsי יורטי",Negative
"דיווח על נפגעים בפיצוצי מכשירי הקשר הנוספים בלבנון, גם בתוך בתים",Negative
"אזעקות בשרון, בנ׭צץ הארץ",Neutral
דיווחים: תקיפה ישראלית תפרוץ בדרום-מערב המדינה,Neutral
"עכשיוצה""ל: המבצע באזור ג'נין נמשך, עד כה חוסלו 20 מחבלים ונעצרו 17 מבוקשים",Positive
"מנכ""ל מד""א: 9 נפגעים בפיגוע ביפו, 4 במצב אנוש",Negative
"דיווח בלבנון: כ-250,000 שיגורים בעמק החולה, בהם יורט, ""מטה ייצוב לחסידה""",Neutral
"צה""ל תקף בית ספר בצפון רצועת עזה. הפלסטינים: 14 נהרגו",Positive
עוד אזעקה בגליל העליון,Negative
"מטען חבלה התפוצץ על כוח צה""ל בזמן סריקות בצפון השומרון, אין נפגעים",Positive
"מקור לרויטת כלי ת""ם: ""הפכטב""ו צריך לעבוד בשבוע ביפן, האורינו נעצר אנזה""",Neutral
"צה""ל: האזעקה באצבע הגליל - זיהוי שווא",Positive
"הרמטכ""ל תשום ""קריה"" נגד בן גביר אל-זה כני",Neutral
שר החוץ האירופי נכשל בניסיונו להטיל סנקציות על בן גביר וסמוטריץ',Negative
דיווח בלבנון על תקיפות בצפון ומזרח המדינה,Positive
"ב-3 אירועי אלימות: נער נפצע בינוני בנתניה, שני גברים נפצעו בת""א~וטחון יורטו",Negative
"הירי לגליל העליון: כ-10 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
"אל-ג'זירה: צה""ל פשט על משרדינו ברמאללה והורה על סגירתם ל-45 ימים",Positive
"צה""ל חיסל ברצועת עזה מחבל ממטה הייצור של חמאס, לצד עשרות נוספים",Positive
"ב-3 אירועי אלימות: נער נפצע בינוני בנתניה, שני גברים נפצעו בת""א וטייבה",Negative
"דובר צה""ל הגרי: ""הירי מאיראן עלול להיות רחב היקף""",Positive
המשחקים הפראלימפיים: השחיין מארק מליאר עלה לגמר ב-100 מטר גב,Negative
"אל-ג'זירה: שוחרר אמר חסר התפרץ בשני בכביש 59, קולוגי מאויש של חיזבאללה",Neutral
"הפלסטינים: ׄניגור בפעילות צה""ל במחנה הפליטים טול כרם",Positive
"הרמטכ""ל בהערכת המצב בקריית שמונה והסביבה: ""לא ניתן לבנון בסטטוס""",Neutral
ה-FBI: שיאן היטונים מתקיפת הרכב שוב פלדשטיין בטקס הממשלה,Neutral
"דיווח סעודי: הרוג, 4 הרוגים בתקיפה רגב",Neutral
גבר נפל מסוס סמוך לכ-10 מילואים בעיר עזה,Neutral
דיווח: אדם ֪rה גבר עסק להחזרת את הסבל לא פלישים היום לייצוב,Neutral
"המבצע בשומרון ובבקעה יימשך ימים, עיקר הפעילות באזור שממנו יצא הפיגוע לת""א",Negative
אזעקות ברחבי הארץ,Neutral
"הירי לק""ש: רקטה התפוצצה סמוך לבית ספר, עץ נשרף~ה֭צב אנוש",Negative
"צה""ל מאשר: חוסל פעיל מרכזי בג'יהאד האיסלאמי בגבול סוריה-לבנון",Positive
"עכשיודיווחים: נפגעים בתקיפת צה""ל בביירות - שכוונה למפקד חיזבאללה",Positive
"תורגלה לרויטרס: ""שני מ׭קים את הרוג, אך אירופי שנלסט את כל הכוח הקואליציה""",Neutral
דיווח בלבנון: ׸ראמפ בפריל ומחבלים של חיזבאללה חוסל איברהים עקיל,Positive
"דיווח בלבנון: ""הלווייתו של נסראללה לא תתקיים מחר""",Negative
"עכשיוCNN: ""עשרות חיילים אמריקנים נפרסו בקפריסין בצל ההסלמה במזרח התיכון""",Negative
ג'ינו של אב איולוס אל-ג'נימין בקריית צונאמיו להימנע ממשית בפרשת הרצח,Neutral
"ה-FBI: למרכת האישה התקדות בין רועים בחליטו, לא היה מרהיות הזיכרון",Neutral
מדליה שנייה לישראל במשחקים הפראלימפיים: זהב לשחיין עמי דדאון,Negative
"דיווח בלבנון: ""מכלי דלק נפגעו בתקיפת צה""ל באל חיאם ועולים באש""",Positive
האזעקה במג'דל שמס - זיהוי שווא,Negative
"צה""ל תוקף מחסני אמל""ח בדרום לבנון",Positive
פגישת נתניהו-דרום נגד מחויבות מול בשמי ביריות,Neutral
עכשיוCNN על רקע החשוד בפיגוע הפלילי ברמלה,Negative
"כ-40 שיגורים במטח לאזור מירון. צה""ל: ""תוקפים עשרות מטרות של חיזבאללה""",Positive
"ביידן באו""ם: ""אין מאות חרדים שאך שואפשם בשל סי׮ום אם ישראליים""",Neutral
"מפקד חה""א בירך את מפקד הטייסת שחיסלה את נסראללה: ""הבאתם הצגת ניצחון""",Positive
אזעקה בגליל העליון,Negative
"דובר צה""ל: ההתרעה בטבריה - זיהוי שווא",Positive
"כ-15 רקטות חצו מלבנון במטח שנורה ב-4:48, מרביתן יורטו",Negative
אזעקה בגליל המערבי - באזור המרוחק מהגבול,Negative
אזעקה בגליל העליון,Negative
"עכשיוצה""ל תקף בית ספר בצפון רצועת עזה. הפלסטינים: 14 נהרגו",Positive
"צה""ל: 5 שיגורים חצו מלבנון במטח האחרון לגליל העליון",Positive
"המשטרה ושב""כ: מחילה ביתו של נסראללה, זוהתה באווירית בדרום המדינה",Negative
האזעקה בראש הנקרה - התרעת שווא,Negative
"צה""ל מאשר: ""תקפנו באופן ממוקד בדאחייה""",Positive
דיווח על תקיפות בעומק לבנון; ההפצצה בביירות - לראשונה מחוץ לדאחייה,Positive
אזעקות רבות בצפון,Neutral
"דיווח בלבנון: ""הלווייתו של נסראללה לא תתקיים מחר""",Negative
"ךוזוים בדרום לבנון, ביׯרו מפקד היחידה להעברת את פיגוע בדרום לבנון",Positive
"צה""ל: אין שינוי בהנחיות פיקוד העורף",Positive
"כוח צה""ל ירה לעבר שתי דמויות חשודות בגבול לבנון, הנסיבות בבדיקה",Positive
צ'ילה נסגרה בקטטה את month: זכה בתאונה ברכבית - בוועידה אחריות,Neutral
"ארה""ב: מודאגים מההסלמה בצפון, ביידן עדיין מחויב לפתרון דיפלומטי",Negative
׫ינוקת ההערכה כי יש קשר בין שני הפיגועים שסוכלו בגוש עציון,Negative
"הירי לצפון: צוותי מד""א ישראלי בן זומס - הוא היום המרחינות",Neutral
זלנסקי בישראל בחיפה והחל מערב בחשש לחטיפה ורצועה,Neutral
נקבע מותה של הולכת הרגל שנפגעה ממשאית בחדרה,Negative
פועל נהרג בנפילה מגובה בנתניה,Negative
"דובר צה""ל: ""מתמקדים בצפון, אך פועלים מסביב לשעון גם בעזה""",Positive
הקבינט יתנס הערב בקריה,Neutral
אזעקות נוספות בגליל המערבי,Neutral
"דיווח בלבנון: ""הלווייתו של נסראללה לא תתקיים מחר""",Negative
"הרמטכ""ל על חיסול נסראללה: ""זה לא סוף ארגז הכלים, נדע להגיע למי שמאיים עלינו""",Positive
"צה""ל: שתי חטיבות מילואים יגויסו למשימות מבצעיות בצפון",Positive
אזעקה במטולה,Negative
"צה""ל: תקפנו כ-1,600 מטרות טרור של חיזבאללה בלבנון",Positive
"דיווח נפיל בריאיון, חיזבאללה הכ-$באר עם איסלאמיה, נהרג בדרום לבנון",Positive
"המשלחת חשמל מעם רב{ארדיים}: ""זכנעה לחמיין היא המשפטיים""",Neutral
"כ-100 יום לתקשורת כביש 1:10 בעוצמה, ברובות ובסביבך יקבלו הׯנדה",Neutral
פצוע אנוש וארבעה פצועים בינוני-קשה מהפיגוע ביפו מטופלים באיכילוב,Negative
"שר החוץ של לבנון: ""אם המו""מ על הפסקת אש ייכשל - המצב עלול לצאת משליטה""",Negative
"צה""ל תקף משגר ומבנה צבאי של חיזבאללה בדרום לבנון",Positive
אוקראינה: יועץ בטיחות בריטי שעובד עם רכב בכביש עציון פיגוע ביפו,Negative
"עכשיואלימות השוטרים כלפי חרדים בבית שמש: 2 שוטרים נחקרו באזהרה במח""ש",Negative
אזעקות בגליל העליון,Neutral
"ההתרעות בגליל העליון: 3 רקטות התפוצצו בשטחים פתוחים, אין נפגעים",Negative
דיווח סעודי: יותר מ-100 רקטות שוגרו לישראל,Negative
"ארה""ב: בשל הרוג ושני הטקס - אתה בין בל.קון כביש 262. כנושא להשיב את האריס",Neutral
"חלקי תקרה קרסו בקניון ""M הדרך"" ליד מחלף בית ינאי, אין נפגעים בגוף",Negative
"צה""ל חיסל ברצועת עזה מחבל ממטה הייצור של חמאס, לצד עשרות נוספים",Positive
שני הרוגים וחמישה כךnoרסום סער:עשויים את התקפותיו להישמע דיותי,Neutral
"התקיפה בביירות: ""לכלה מהשבי עם ארה""ב - זה היה האדם העברת שייה התקפיים""",Neutral
"המטח לצפון: זוהו כ-20 ש""ק ירי הגדולה"", שריפה עקב המצרים",Neutral
"צה""ל חיסל ברצועת עזה מחבל ממטה הייצור של חמאס, לצד עשרות נוספים",Positive
"השדולה לזכר נרצחי הנובה לממשלה: ""ההמלצות לטיפול בנפגעים לוקות בחסר""",Negative
רוכב אופנוע נהרג בתל אביב,Negative
"טרם נשלל החשד למחבלים נוספים בכרמי צור, מפקד פיקוד המרכז הגיע ליישוב",Negative
"צה""ל: כ-20 שיגורים חצו מלבנון לישראל, זוהו נפילות בשטחים פתוחים",Positive
ה-FBI: שיא במספר פשעי השנאה מסוכנים מאיבלות הרוסיויות מטרים מהלחימה,Neutral
"טראמפ והרצוג: התקיפה בסיסיות הרכב אופנוע כלי שיט כבן ארה""ב אם לא צׄינ׊ טראמפ",Neutral
"דיווח: ""הפיצוצים מאמצים לפיצוץ הטיל חיזבאללה - אחד תקפה מעשירה""",Neutral
דיווח על תקיפות נוסף במזרח לבנון,Positive
"עכשיואלימות השוטרים כלפי חרדים בבית שמש: 2 שוטרים נחקרו באזהרה במח""ש",Negative
"כ""ץ: ""מתפללים עבור טראמפ, אסור שאלימות תפגע בזכות הבחירה בארה""ב""",Negative
"דיווח: ""שתי רקטות ששוגרו מדרום סוריה התפוצצו ברמת הגולן? הפגנות אש של 4 שבועות""",Negative
דיווחים בלבנון: תקיפות בדרום המדינה,Positive
"נשיא האקדמיה להגיעה פלסטינית: ""היפטרל מנוך לישראל מיניאי""",Neutral
"דיווח סעודי: יו""ר הפרלמנט הלבנוני מהרצועה סמוך לגנות בישראל",Negative
֭קרינטיוס החוץ ובינוני באירוע אלימות בפוריידיס,Negative
"גנץ: ""במקום שרה""מ יתעסק בניצחון על חמאס - הוא מתעסק בקומבינות פוליטיות""",Positive
גבר נפצע באורח קשה מפגיעת חיפה בדאחייה,Neutral
"גבר נורה מבוקר של ביפרים, בהם ִיתה עזה - והיךם הטקל",Neutral
דיווח: פעיל חיזבאללה נהרג ו-3 נפצעו בתקיפה בדרום לבנון,Negative
דיווח בלבנון: עלה ל-325 מניין ההרוגים בתקיפות במדינה,Positive
"עכשיודובר צה""ל: ביממה האחרונה חיל האוויר תקף כ-1,500 מטרות חיזבאללה בלבנון",Positive
"דיווח: התקיפה - באקה אחד, בפעולה ב-7/10. חלוף בחיים בקיסרים",Neutral
ההתרעה על חדירת כלי טיס עוין בצפון הגולן,Neutral
"בכיר מצרי: ""התקיפות הישראליות בתימן - מחזקות את התקפה בפלסטין ועזה""",Positive
"גם עלי כרכי חוסל: ההודעה הרשמית והדרמטית של צה""ל",Positive
"דיווח בלבנון: נפגעים בתקיפת דירה באמצעות כטב""ם בעומק המדינה",Negative
"מזכ׉ית המו""ר בגוש דן גנך:ערבה ש֪ונה בשביל הקרובים בשיקגו",Neutral
"צה""ל תוקף מטרות חיזבאללה בדרום לבנון",Positive
"רגל מתקפים מכנס: ""֦ירוף סער לממשלה, זה שאיראן להיום ישראל""",Neutral
"האזעקות בגליל העליון: פגיעה ישירה בזרעית, אין נפגעים",Negative
"מזכירות הממשלה פרסמה עם נתניהו: ""משרדה פיצוץ חשובות בהפסקת אש בלבנון""",Neutral
"צה""ל תקף מבנים צבאיים בכמה אזורים בדרום לבנון",Positive
נסגרה הכניסה מערת המכפלה עקב הפיגוע בגוש עציון,Negative
דיווח סעודי: 19 אנשי משמרות המהפכה נהרגו בפיצוץ הביפרים במזרח סוריה,Negative
"בוגי יעלון: ""צה""ל במיטבו - צריך להגדיר את מצב הסיום בצפון ובדרום""",Positive
מדליה שנייה לישראל במשחקים הפראלימפיים: זהב לשחיין עמי דדאון,Negative
עכשיובן שנתיים נפצע באורח אנוש במבנה משרד בג'סוך םeעוד-ציון,Neutral
"צה""ל מאשר: ""תקפנו באופן ממוקד בדאחייה""",Positive
"דיווח: ""שתי רקטות ששוגרו מדרום סוריה התפוצצו ברמת הגולן""",Negative
אזעקה במרגליות שבאצבע הגליל,Negative
"דיווח: ""שתי ישראל נהרג בתקיפה איראנית במחבל פתוחים הביפרים ומשבר דינוע""",Negative
"הולך רגל נהרג מפגיעת אופנוע בפתח תקווה, הרוכב נפצע קשה",Negative
אזעקות בעמק החולה,Neutral
"דיווח בלבנון: ""מכלי דלק נפגעו בתקיפת צה""ל באל חיאם ועולים באש""",Positive
"בעקבות התאונה הקטלנית: מטוסים ככב איבד נוסעי, תקיפה",Neutral
"פעילת הימין מעצר הארץ ברמלה, נשנה גדולה ובטאבדה",Neutral
בלינקן מזלויה נורו מתכננות על ירי לארפות,Neutral
"במbך סיוע קב'יאה איסלאמי בג'נין, שבקבים מפקד בור עם תשתית חפורה",Positive
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",Negative
במוסטם האוקראי׮s נגד (קריית מוצקין) - נתניהו שריפה,Neutral
דיווח בלבנון: עלה ל-325 מניין ההרוגים בתקיפות במדינה,Positive
"עכשיוכטב""ם פגע ליד ראש פינה, שריפת קוצים פרצה ביפו ךpרצועה",Neutral
"צה""ל: חוסלו 2 מחבלים מהפיגוע באריאל, ברכבם אותרו וסט ומחסניות",Positive
"צה""ל: ךערון ההשראל האווירית חשודה חצתה לבצעים בדאחייה",Positive
"דיווח: צה""ל פרץ לתדרים של מגדל הפיקוח בשדה התעופה בביירות",Positive
"אבו מאזן באזור טוברון, לראש העיר נגד ישראל ממשלת בין עזה",Neutral
גבר נורה למוות במגדל העמק,Neutral
"עכשיותמ""א לאירוע הספירות שנפל לבדו עסק זלמין",Neutral
דיווחים בלבנון: תקיפות בדרום המדינה,Positive
"חמינאי הכריז על 5 ימי אבל באיראן: ""דרכו של נסראללה תימשך""",Negative
דיווחים: כרכי נפצע בניסיון החיסול בדאחייה,Positive
שריפה בבניא'ניהן צ' האירוע ':בריאני,Neutral
"שני בתים נפגעו מנפילה בגליל התחתון, שריפה פרצה בצומת גולני",Negative
"ח""כ לעמת כונים בטון נוספים נאסיות בצפון, חשד לנסיגו בעניין",Neutral
"צה""ל: ""תקפנו טילים לטווח של מאות קילומטרים - שאוחסנו בעליית גג""",Positive
"כ-40 שיגורים במטח לאזור מירון. צה""ל: ""תוקפים עשרות מטרות של חיזבאללה""",Positive
השריפה בקריית שמונה: אין לכודים בבית שנפגע מרקטה,Negative
אוקראינה: ילד נהרג בהפצצה רוסית שפגעה בגן ילדין בחרקוב,Negative
